Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2022,"Tucson Supplemental Retirement System","Arizona",5.93%,30.46%,11.58%,24.81%,36.39%
2014,"University of California Retirement System","California",6.16%,16.87%,16.21%,6.82%,23.03%
2015,"University of California Retirement System","California",7.89%,24.98%,15.82%,17.06%,32.87%
2016,"University of California Retirement System","California",7.91%,23.60%,16.00%,15.51%,31.51%
2017,"University of California Retirement System","California",7.89%,18.37%,15.99%,10.27%,26.26%
2018,"University of California Retirement System","California",7.89%,21.01%,15.71%,13.19%,28.90%
2019,"University of California Retirement System","California",7.86%,19.79%,16.00%,11.66%,27.66%
2020,"University of California Retirement System","California",7.81%,18.72%,18.89%,7.63%,26.53%
2021,"University of California Retirement System","California",7.98%,20.47%,19.40%,9.04%,28.44%
2022,"University of California Retirement System","California",7.94%,20.78%,18.59%,10.13%,28.72%
2023,"University of California Retirement System","California",7.94%,18.24%,18.13%,8.05%,26.18%
2014,"Utah Retirement Systems, Contributory Retirement System","Utah",6.03%,14.29%,10.57%,9.75%,20.32%
2015,"Utah Retirement Systems, Contributory Retirement System","Utah",5.79%,14.22%,10.52%,9.48%,20.01%
2016,"Utah Retirement Systems, Contributory Retirement System","Utah",6.38%,15.27%,10.58%,11.07%,21.65%
2017,"Utah Retirement Systems, Contributory Retirement System","Utah",5.92%,17.59%,10.63%,12.88%,23.51%
2018,"Utah Retirement Systems, Contributory Retirement System","Utah",6.25%,15.34%,10.30%,11.30%,21.59%
2019,"Utah Retirement Systems, Contributory Retirement System","Utah",5.68%,15.83%,10.30%,11.21%,21.51%
2020,"Utah Retirement Systems, Contributory Retirement System","Utah",5.62%,15.48%,10.33%,10.77%,21.10%
2021,"Utah Retirement Systems, Contributory Retirement System","Utah",5.40%,15.70%,10.40%,10.69%,21.09%
2022,"Utah Retirement Systems, Contributory Retirement System","Utah",4.68%,13.86%,9.17%,9.36%,18.53%
2023,"Utah Retirement Systems, Contributory Retirement System","Utah",5.95%,17.38%,10.68%,12.66%,23.34%
2014,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.44%,4.95%,24.50%,−3.10%,21.40%
2015,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.35%,6.02%,24.46%,−2.08%,22.37%
2016,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.67%,6.19%,25.51%,−2.64%,22.87%
2017,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.34%,5.94%,25.48%,−3.19%,22.29%
2018,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.12%,6.18%,25.86%,−3.57%,22.30%
2019,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.50%,6.57%,25.84%,−2.77%,23.07%
2020,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.36%,6.54%,25.82%,−2.91%,22.91%
2021,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.56%,6.54%,25.60%,−2.50%,23.10%
2022,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.80%,5.64%,26.18%,−3.74%,22.44%
2023,"Utah Retirement Systems, Firefighters Retirement System","Utah",16.87%,5.20%,26.14%,−4.07%,22.07%
2014,"Utah Retirement Systems, Judges Retirement System","Utah",1.97%,35.01%,30.46%,6.53%,36.98%
2015,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,41.40%,30.28%,11.12%,41.40%
2016,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,44.06%,29.98%,14.08%,44.06%
2017,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,40.53%,28.54%,11.99%,40.53%
2018,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,43.03%,30.22%,12.81%,43.03%
2019,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,43.38%,30.89%,12.48%,43.38%
2020,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,43.08%,30.61%,12.47%,43.08%
2021,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,43.02%,30.33%,12.69%,43.02%
2022,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,44.23%,31.45%,12.79%,44.23%
2023,"Utah Retirement Systems, Judges Retirement System","Utah",0.00%,46.67%,31.14%,15.53%,46.67%
2014,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.38%,21.63%,11.43%,10.59%,22.01%
2015,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.49%,23.52%,11.42%,12.60%,24.01%
2016,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.48%,24.41%,11.97%,12.92%,24.89%
2017,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.51%,25.31%,11.97%,13.85%,25.82%
2018,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.44%,25.77%,12.14%,14.07%,26.21%
2019,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.35%,26.68%,12.15%,14.88%,27.03%
2020,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.50%,27.60%,12.17%,15.92%,28.09%
2021,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.48%,28.05%,12.22%,16.31%,28.53%
2022,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.46%,28.87%,12.57%,16.75%,29.32%
2023,"Utah Retirement Systems, Noncontributory Retirement System","Utah",0.35%,30.85%,12.56%,18.64%,31.20%
2014,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.23%,37.59%,21.26%,16.56%,37.82%
2015,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.25%,39.71%,21.22%,18.75%,39.96%
2016,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.24%,41.74%,22.37%,19.60%,41.98%
2017,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.23%,41.57%,22.31%,19.48%,41.79%
2018,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.26%,42.21%,23.04%,19.43%,42.47%
2019,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.25%,44.29%,23.03%,21.52%,44.55%
2020,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.16%,44.41%,22.98%,21.59%,44.57%
2021,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.42%,45.29%,22.14%,23.57%,45.71%
2022,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.33%,53.68%,23.54%,30.47%,54.01%
2023,"Utah Retirement Systems, Public Safety Retirement System","Utah",0.17%,54.16%,23.41%,30.92%,54.33%
2014,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,7.57%,7.97%,−0.40%,7.57%
2015,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,7.79%,8.00%,−0.21%,7.79%
2016,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,7.67%,8.50%,−0.83%,7.67%
2017,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,7.94%,8.46%,−0.52%,7.94%
2018,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,8.34%,8.94%,−0.60%,8.34%
2019,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,8.68%,9.00%,−0.32%,8.68%
2020,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,8.61%,9.09%,−0.49%,8.61%
2021,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.00%,9.29%,9.25%,0.05%,9.30%
2022,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.01%,10.35%,9.54%,0.81%,10.35%
2023,"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah",0.01%,10.02%,9.57%,0.45%,10.03%
2014,"Vermont Municipal Employees Retirement System","Vermont",6.01%,5.81%,10.22%,1.60%,11.82%
2015,"Vermont Municipal Employees Retirement System","Vermont",5.88%,6.12%,10.55%,1.45%,12.00%
2016,"Vermont Municipal Employees Retirement System","Vermont",6.10%,6.10%,10.11%,2.08%,12.19%
2017,"Vermont Municipal Employees Retirement System","Vermont",9.82%,6.42%,10.61%,5.63%,16.24%
2018,"Vermont Municipal Employees Retirement System","Vermont",6.97%,6.38%,10.35%,3.00%,13.35%
2019,"Vermont Municipal Employees Retirement System","Vermont",6.82%,6.63%,10.61%,2.84%,13.45%
2020,"Vermont Municipal Employees Retirement System","Vermont",6.79%,6.76%,11.34%,2.20%,13.54%
2021,"Vermont Municipal Employees Retirement System","Vermont",7.05%,6.81%,11.35%,2.51%,13.85%
2022,"Vermont Municipal Employees Retirement System","Vermont",7.54%,7.60%,11.92%,3.21%,15.14%
2023,"Vermont Municipal Employees Retirement System","Vermont",8.35%,8.00%,11.86%,4.48%,16.35%
2014,"Vermont State Retirement System","Vermont",7.62%,13.55%,9.45%,11.72%,21.17%
2015,"Vermont State Retirement System","Vermont",7.61%,12.77%,9.55%,10.83%,20.38%
2016,"Vermont State Retirement System","Vermont",7.37%,11.76%,10.17%,8.96%,19.13%
2017,"Vermont State Retirement System","Vermont",7.63%,12.79%,9.06%,11.36%,20.42%
2018,"Vermont State Retirement System","Vermont",8.01%,12.80%,9.86%,10.95%,20.81%
2019,"Vermont State Retirement System","Vermont",7.82%,12.77%,9.96%,10.64%,20.59%
2020,"Vermont State Retirement System","Vermont",7.75%,16.00%,10.05%,13.71%,23.76%
2021,"Vermont State Retirement System","Vermont",7.63%,16.11%,12.86%,10.88%,23.74%
2022,"Vermont State Retirement System","Vermont",8.09%,35.76%,12.27%,31.58%,43.85%
2023,"Vermont State Retirement System","Vermont",8.42%,20.17%,12.71%,15.89%,28.59%
2014,"Vermont State Teachers' Retirement System","Vermont",5.78%,12.75%,5.88%,12.65%,18.53%
2015,"Vermont State Teachers' Retirement System","Vermont",6.15%,12.86%,5.93%,13.08%,19.00%
2016,"Vermont State Teachers' Retirement System","Vermont",6.35%,13.13%,6.27%,13.21%,19.48%
2017,"Vermont State Teachers' Retirement System","Vermont",6.16%,13.41%,6.03%,13.54%,19.58%
2018,"Vermont State Teachers' Retirement System","Vermont",6.24%,18.17%,6.61%,17.80%,24.41%
2019,"Vermont State Teachers' Retirement System","Vermont",6.38%,18.56%,6.49%,18.45%,24.93%
2020,"Vermont State Teachers' Retirement System","Vermont",6.50%,19.24%,6.52%,19.22%,25.74%
2021,"Vermont State Teachers' Retirement System","Vermont",6.53%,19.49%,11.17%,14.86%,26.03%
2022,"Vermont State Teachers' Retirement System","Vermont",6.78%,47.83%,10.92%,43.68%,54.60%
2023,"Vermont State Teachers' Retirement System","Vermont",7.41%,26.81%,11.15%,23.07%,34.22%
2014,"Virginia Judicial Retirement System","Virginia",5.00%,45.44%,39.37%,11.07%,50.44%
2015,"Virginia Judicial Retirement System","Virginia",4.94%,51.57%,38.06%,18.44%,56.50%
2016,"Virginia Judicial Retirement System","Virginia",4.86%,62.30%,32.99%,34.16%,67.15%
2017,"Virginia Judicial Retirement System","Virginia",4.90%,41.32%,33.14%,13.08%,46.22%
2018,"Virginia Judicial Retirement System","Virginia",4.73%,41.17%,28.17%,17.73%,45.90%
2019,"Virginia Judicial Retirement System","Virginia",4.70%,33.50%,27.47%,10.73%,38.20%
2020,"Virginia Judicial Retirement System","Virginia",4.60%,33.19%,27.62%,10.17%,37.79%
2021,"Virginia Judicial Retirement System","Virginia",2.50%,30.64%,25.92%,7.22%,33.14%
2022,"Virginia Judicial Retirement System","Virginia",2.56%,38.05%,23.42%,17.19%,40.61%
2023,"Virginia Judicial Retirement System","Virginia",2.76%,33.06%,23.48%,12.34%,35.82%
2014,"Virginia Law Officers’ Retirement System","Virginia",5.08%,19.14%,13.19%,11.03%,24.22%
2015,"Virginia Law Officers’ Retirement System","Virginia",5.05%,18.34%,14.04%,9.34%,23.38%
2016,"Virginia Law Officers’ Retirement System","Virginia",5.09%,22.98%,13.20%,14.86%,28.07%
2017,"Virginia Law Officers’ Retirement System","Virginia",5.11%,21.43%,13.70%,12.84%,26.54%
2018,"Virginia Law Officers’ Retirement System","Virginia",5.06%,21.36%,13.08%,13.34%,26.42%
2019,"Virginia Law Officers’ Retirement System","Virginia",5.11%,21.52%,12.72%,13.91%,26.63%
2020,"Virginia Law Officers’ Retirement System","Virginia",5.06%,21.60%,12.97%,13.68%,26.66%
2021,"Virginia Law Officers’ Retirement System","Virginia",5.05%,21.92%,13.65%,13.31%,26.97%
2022,"Virginia Law Officers’ Retirement System","Virginia",5.10%,27.70%,13.08%,19.72%,32.80%
2023,"Virginia Law Officers’ Retirement System","Virginia",5.08%,26.29%,12.55%,18.83%,31.38%
2014,"Virginia Retirement System","Virginia",5.09%,11.12%,11.05%,5.16%,16.22%
2015,"Virginia Retirement System","Virginia",5.03%,14.42%,10.96%,8.49%,19.45%
2016,"Virginia Retirement System","Virginia",5.01%,14.35%,10.68%,8.67%,19.35%
2017,"Virginia Retirement System","Virginia",4.99%,12.90%,10.45%,7.44%,17.89%
2018,"Virginia Retirement System","Virginia",4.86%,13.58%,10.52%,7.92%,18.44%
2019,"Virginia Retirement System","Virginia",4.82%,13.14%,10.31%,7.65%,17.96%
2020,"Virginia Retirement System","Virginia",4.78%,13.06%,10.49%,7.35%,17.84%
2021,"Virginia Retirement System","Virginia",4.75%,14.30%,10.55%,8.50%,19.05%
2022,"Virginia Retirement System","Virginia",4.74%,17.22%,9.54%,12.42%,21.96%
2023,"Virginia Retirement System","Virginia",5.38%,14.36%,9.60%,10.14%,19.74%
2014,"Virginia State Police Officers’ Retirement System","Virginia",5.04%,38.11%,16.37%,26.77%,43.15%
2015,"Virginia State Police Officers’ Retirement System","Virginia",5.16%,25.83%,17.12%,13.87%,30.99%
2016,"Virginia State Police Officers’ Retirement System","Virginia",5.03%,29.42%,16.35%,18.11%,34.45%
2017,"Virginia State Police Officers’ Retirement System","Virginia",5.12%,28.63%,16.95%,16.80%,33.74%
2018,"Virginia State Police Officers’ Retirement System","Virginia",5.09%,28.88%,14.67%,19.30%,33.96%
2019,"Virginia State Police Officers’ Retirement System","Virginia",5.04%,24.85%,15.87%,14.02%,29.90%
2020,"Virginia State Police Officers’ Retirement System","Virginia",5.05%,24.85%,16.95%,12.95%,29.90%
2021,"Virginia State Police Officers’ Retirement System","Virginia",5.06%,26.35%,17.19%,14.22%,31.40%
2022,"Virginia State Police Officers’ Retirement System","Virginia",5.14%,34.23%,17.09%,22.28%,39.37%
2023,"Virginia State Police Officers’ Retirement System","Virginia",5.07%,32.28%,16.21%,21.15%,37.36%
2014,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.46%,8.83%,18.89%,−0.59%,18.29%
2015,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.98%,8.88%,17.22%,1.64%,18.86%
2016,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.98%,8.74%,17.36%,1.36%,18.72%
2017,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",10.42%,8.76%,17.28%,1.90%,19.18%
2018,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",10.47%,9.27%,16.48%,3.26%,19.75%
2019,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",10.28%,9.49%,16.96%,2.81%,19.77%
2020,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.59%,8.67%,16.16%,2.10%,18.26%
2021,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.52%,8.62%,16.36%,1.78%,18.14%
2022,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.42%,8.58%,16.02%,1.98%,18.00%
2023,"Washington Law Enforcement Officers and Firefighters Plan 2","Washington",9.19%,8.53%,18.04%,−0.32%,17.72%
2014,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",6.08%,0.71%,30.81%,−24.03%,6.78%
2015,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",9.60%,0.57%,30.90%,−20.73%,10.17%
2016,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",10.55%,0.00%,28.21%,−17.66%,10.55%
2017,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",35.09%,0.00%,29.42%,5.66%,35.09%
2018,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",12.05%,0.03%,26.95%,−14.88%,12.08%
2019,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",5.87%,0.12%,20.47%,−14.48%,5.99%
2020,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",0.05%,0.23%,16.67%,−16.39%,0.28%
2023,"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)","Washington",0.00%,0.08%,11.82%,−11.74%,0.08%
2014,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",4.28%,5.00%,10.86%,−1.58%,9.28%
2015,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",4.22%,5.03%,9.74%,−0.49%,9.25%
2016,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",5.33%,6.04%,9.58%,1.79%,11.38%
2017,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",5.26%,6.31%,9.59%,1.99%,11.57%
2018,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",6.11%,7.47%,9.05%,4.53%,13.58%
2019,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",6.10%,7.48%,9.27%,4.31%,13.58%
2020,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",6.50%,7.97%,9.17%,5.30%,14.47%
2021,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",6.46%,7.92%,9.27%,5.11%,14.38%
2022,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",5.34%,6.42%,9.46%,2.30%,11.76%
2023,"Washington Public Employees’ Retirement System Plan 2 & 3","Washington",5.26%,6.35%,9.58%,2.04%,11.61%
2014,"Washington Public Safety Employees’ Retirement System","Washington",6.46%,6.34%,15.80%,−3.00%,12.80%
2015,"Washington Public Safety Employees’ Retirement System","Washington",6.37%,6.38%,13.84%,−1.08%,12.75%
2016,"Washington Public Safety Employees’ Retirement System","Washington",6.51%,6.17%,13.57%,−0.89%,12.68%
2017,"Washington Public Safety Employees’ Retirement System","Washington",6.63%,6.50%,13.24%,−0.10%,13.14%
2018,"Washington Public Safety Employees’ Retirement System","Washington",6.75%,6.63%,12.51%,0.87%,13.38%
2019,"Washington Public Safety Employees’ Retirement System","Washington",7.07%,6.92%,11.70%,2.29%,13.99%
2020,"Washington Public Safety Employees’ Retirement System","Washington",9.48%,9.46%,15.94%,3.00%,18.94%
2021,"Washington Public Safety Employees’ Retirement System","Washington",7.27%,7.17%,12.40%,2.04%,14.44%
2022,"Washington Public Safety Employees’ Retirement System","Washington",6.57%,6.59%,14.04%,−0.87%,13.17%
2023,"Washington Public Safety Employees’ Retirement System","Washington",6.63%,6.59%,12.89%,0.32%,13.21%
2014,"Washington School Employees Plan 2/3","Washington",1.97%,5.49%,8.55%,−1.09%,7.46%
2015,"Washington School Employees Plan 2/3","Washington",2.06%,5.66%,7.49%,0.23%,7.72%
